Board,Solution
"...u......R.B...Ruu.................","1. B a4 up   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".........uBR..u............u....R...","1. B e5 up   2. u d2 right   3. B e6 right   4. u e2 right   5. B f6 right"
"...B....u..R..uuR...................","1. B d6 right   2. u c5 up   3. B e6 right   4. u c6 left   5. B f6 right"
"..R....B.........u.uR.u.............","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
".......BR.......uu..u..............R","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"...........uB.....u....R....u.R.....","1. B a4 up   2. u f5 up   3. B a5 up   4. u a3 down   5. B a6 left"
"..R....B............u.R..uu.........","1. B b5 left   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"....u....R..Bu...........R.u........","1. B a4 up   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"..B.u......u........u.......R......R","1. B c6 left   2. u e6 right   3. B b6 left   4. u f6 left   5. B a6 left"
"...B...........u...uR.R....u........","1. B d6 right   2. u b3 left   3. B e6 right   4. u a3 down   5. B f6 right"
"..B............uR.u.............u.R.","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"...uR.......B.......uR...........u..","1. B a4 up   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
".......B....R....u.....u..R.u.......","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".......B.uR.......R......uu.........","1. B b5 left   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".......BR.u...u....R.....u..........","1. B b5 left   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".......B.......R.u...R.u........u...","1. B b5 left   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"..B......u...........u....u.R..R....","1. B c6 left   2. u c2 left   3. B b6 left   4. u b2 left   5. B a6 left"
"......R.R.B........u..u.....u.......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
".u.R........u...uB...........R......","1. B f4 up   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"...R.......uB.u................Ru...","1. B a4 up   2. u f5 up   3. B a5 up   4. u c1 left   5. B a6 left"
".......R...uB..u.R.......u..........","1. B a4 up   2. u f5 up   3. B a5 up   4. u b2 left   5. B a6 left"
"uu.B...................R...R....u...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
"...B..u.u..R....R........u..........","1. B d6 right   2. u a5 up   3. B e6 right   4. u b2 left   5. B f6 right"
"..B.u............Ru....R....u.......","1. B c6 left   2. u e6 right   3. B b6 left   4. u a3 down   5. B a6 left"
".R.......u..B...uu.R................","1. B a4 up   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"....BR.............uR......u.....u..","1. R f6 down   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"..............u.uB.............RRu..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"...B...........u....u.u..R.R........","1. B d6 right   2. u e3 right   3. B e6 right   4. u f3 down   5. B f6 right"
".R..u..BRu..........u...............","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"....Ru......B....uRu................","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
".........R..B...u......uR.u.........","1. B a4 up   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".R.....u.uB...u...R.................","1. B e5 right   2. u b5 up   3. B f5 up   4. u b6 left   5. B f6 right"
"..u.......B........R...u.u....R.....","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"........uu.uB...........R.....R.....","1. B a4 up   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
".......B..u.RR.....u...u............","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".....R......B........u....uuR.......","1. B a4 up   2. u c2 left   3. B a5 up   4. u b2 left   5. B a6 left"
"......R...B...Ru.........u..u.......","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B..R.......u....u......Ru.........","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"......u.......u..Bu...........R.R...","1. B f4 up   2. u a5 up   3. B f5 up   4. u a3 down   5. B f6 right"
"..B..u...RR.....u...u...............","1. B c6 left   2. u f6 left   3. B b6 left   4. u e6 right   5. B a6 left"
"..B....R.u.....uu................R..","1. B c6 left   2. u d5 up   3. B b6 left   4. u d6 right   5. B a6 left"
"R......u.....u...B..R......u........","1. B f4 up   2. u b5 up   3. B f5 up   4. u b6 left   5. B f6 right"
"..........B..u.u.R.u............R...","1. B e5 right   2. u b3 left   3. B f5 up   4. u a3 down   5. B f6 right"
".......u..B.u...R.u.............R...","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"R........u.....u.B..............Ru..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"uu........B............u...R...R....","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"..BuR........R.........u..u.........","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"R.....B.........u..u.R...u..........","1. R a6 right   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"...R.....RB....u...u............u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"........u..uB..u...........R..R.....","1. B a4 up   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
".....R..u..B......R.u......u........","1. R f6 left   2. u d2 right   3. B f5 up   4. u e2 right   5. B f6 right"
"..B.....R.u.R.u..........u..........","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
".................B.....u..u.uRR.....","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
".....u.....uB....R..u...........R...","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"......u...B...u...R..u...........R..","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"..........B...u...R..u.u...........R","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"...B..u................R.Ru.....u...","1. B d6 right   2. u a5 up   3. B e6 right   4. u c1 left   5. B f6 right"
".........uB...u......R...R.......u..","1. B e5 right   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"......R.....u...uB..u.......R.......","1. B f4 up   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
".R.......u...u...B...u...R..........","1. B f4 up   2. u b4 up   3. B f5 up   4. u b5 up   5. B f6 right"
"....uR.....uBu...R..................","1. B a4 up   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"....u..Bu...........R....u....R.....","1. B b5 left   2. u e6 right   3. B a5 up   4. u b2 left   5. B a6 left"
"..B........u...u......u.......R.R...","1. B c6 left   2. u f5 up   3. B b6 left   4. u f6 left   5. B a6 left"
"...........uB...............u...uRR.","1. B a4 up   2. u f5 up   3. B a5 up   4. u c1 left   5. B a6 left"
"R......u.........Bu......u.......R..","1. B f4 up   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"......u...B.....u....u...R......R...","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"...u...B.........u.........u.R.....R","1. B b5 left   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
"..........B.R.u.....u...Ru..........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B........uRR...u...u..............","1. B c6 left   2. u f5 up   3. B b6 left   4. u f6 left   5. B a6 left"
"..B.....uR.........u.........R...u..","1. B c6 left   2. u d1 right   3. B b6 left   4. u e1 right   5. B a6 left"
"........u........B..u.R...Ru........","1. B f4 up   2. u d2 right   3. B f5 up   4. u e2 right   5. B f6 right"
"..u...R...B..R.........u.u..........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..........BR......uR......u.u.......","1. B e5 up   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"..Bu..........u...u........RR.......","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"......u...B...R......u.....u.......R","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"R.u.........u....B.Ru...............","1. B f4 up   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"............B......u.u..R..R....u...","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"..............uR.B...R....u......u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".u.B..R..u....R.u...................","1. B d6 right   2. u b6 left   3. B e6 right   4. u a6 right   5. B f6 right"
".......B.u......uu..............R.R.","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"..........u.B.u......Ru.R...........","1. B a4 up   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"RB........u...R.u...............u...","1. R a6 down   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"..B.....R....uu...u.R...............","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"..B......u.....uR...R.......u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
".......B..u....u....u......R....R...","1. B b5 left   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"...B........u.u..........RuR........","1. B d6 right   2. u a4 up   3. B e6 right   4. u a5 up   5. B f6 right"
"...R.....u...u.u.B.R................","1. B f4 up   2. u b4 up   3. B f5 up   4. u b5 up   5. B f6 right"
"R.....B..........uu.......u...R.....","1. R a6 right   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".....u......Bu.....u..R......R......","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"...R.......uB....u....R..u..........","1. B a4 up   2. u f5 up   3. B a5 up   4. u b2 left   5. B a6 left"
".....u...R..B.R......u...u..........","1. B a4 up   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".....u.....RB.....R.u.......u.......","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"..B..R..u........R.......u.u........","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
".....u......Bu.Ru........R..........","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"..u.....u.B...u.R.......R...........","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"..u.......B.........Ru....R.....u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"..B......u...Ru........R....u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"...u...R.R..B....u.........u........","1. B a4 up   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
".........u.RB........u....u.R.......","1. B a4 up   2. u c2 left   3. B a5 up   4. u b2 left   5. B a6 left"
"......R..RB.....u......u.u..........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B..............u.R..u.....R...u...","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"......RB.....R............u.u....u..","1. B b5 up   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
".......B...u.u.....R......u..R......","1. B b5 left   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
".......R.uB....u.R..............u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"u..B...R.R...........u......u.......","1. B d6 right   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
"..........u.B....R.......Ru......u..","1. B a4 up   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"..uR......B..u..u................R..","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"..Bu...........u........R..u...R....","1. B c6 left   2. u d6 right   3. B b6 left   4. u e6 right   5. B a6 left"
".......B...uR.u..u.......R..........","1. B b5 left   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
".........u...u..RB.R......u.........","1. B f4 up   2. u c2 left   3. B f5 up   4. u b2 left   5. B f6 right"
"Ru.B..u...R.......u.................","1. B d6 right   2. u b6 left   3. B e6 right   4. u a3 down   5. B f6 right"
"..Bu...................R.......Ruu..","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"..B......u..........R.u..u.......R..","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
".u........B...u......R.u.R..........","1. B e5 right   2. u b6 left   3. B f5 up   4. u f3 down   5. B f6 right"
".......Bu........u....R...u........R","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"....u..Bu................u..R....R..","1. B b5 left   2. u e6 right   3. B a5 up   4. u b2 left   5. B a6 left"
"..B..u............RuR.u.............","1. B c6 left   2. u f6 left   3. B b6 left   4. u e6 right   5. B a6 left"
".......u.RB...........u.....uR......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
".u........BR....u...u.......R.......","1. B e5 up   2. u b6 left   3. B e6 right   4. u a6 right   5. B f6 right"
"....R...........uB.u...u........R...","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"......R..........B....R..uu.u.......","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B..........R...u....u.....u..R....","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
".......B.Ru.........u.....Ru........","1. B b5 left   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
".............u.R.B......R.u......u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"...............R.B.uuu....R.........","1. B f4 up   2. u b3 left   3. B f5 up   4. u a3 down   5. B f6 right"
"u..B..R..u.................R.....u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"..B.................uR.R.u..u.......","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
"..BR............u..u.R...u..........","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
"R........uB...u.....u..........R....","1. B e5 right   2. u d5 up   3. B f5 up   4. u d6 right   5. B f6 right"
"..u.......R.u....B.............Ru...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"........u.B....R..u...........R..u..","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
".uu.......B...R...........u...R.....","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
".....R.Bu.....u...........R.u.......","1. B b5 left   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"..Bu.R......R...u.....u.............","1. B c6 left   2. u d6 right   3. B b6 left   4. u e6 right   5. B a6 left"
".....u.B..........R....u...u....R...","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".u........R......B.....u.u.R........","1. B f4 up   2. u b6 left   3. B f5 up   4. u b2 left   5. B f6 right"
".uu....u..B..R.............R........","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"u.....u...B...............u.....RR..","1. B e5 up   2. u a6 right   3. B e6 right   4. u b6 left   5. B f6 right"
"R.....BR.u.................uu.......","1. R a6 right   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"...B....Ru......R......u....u.......","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
"u.........BR.u.......u........R.....","1. B e5 up   2. u a6 right   3. B e6 right   4. u b6 left   5. B f6 right"
"....R.....B.....u....u....u......R..","1. B e5 right   2. u c2 left   3. B f5 up   4. u b2 left   5. B f6 right"
"....u..B.R.u.............u.....R....","1. B b5 left   2. u e6 right   3. B a5 up   4. u b2 left   5. B a6 left"
"...B......R..uu.u.........R.........","1. B d6 right   2. u b4 up   3. B e6 right   4. u b5 up   5. B f6 right"
"..u.........R.R..B....u..........u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"..B.........R......uu.....u.......R.","1. B c6 left   2. u b3 left   3. B b6 left   4. u a3 down   5. B a6 left"
".....u.B.R...........R.....u.....u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"..R.u..B...u....u.............R.....","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
".....u...u.RB........u....R.........","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"..............R..BR....u..uu........","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
".u.....u.........B.......R..u...R...","1. B f4 up   2. u b6 left   3. B f5 up   4. u e2 right   5. B f6 right"
"...u.......RB.......uR..........u...","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"..B...R...u........u..Ru............","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"..u......uB...u.................RR..","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"uu............R..B.......uR.........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"...u........B...uu..R............R..","1. B a4 up   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
".......B..u......uu......RR.........","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"............B.R...u...R.....u....u..","1. B a4 up   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"u.........B......Ru.........u......R","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
".............u.u.B...u.......R...R..","1. B f4 up   2. u b4 up   3. B f5 up   4. u b5 up   5. B f6 right"
"...u...BR....u.....u...R............","1. B b5 left   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
"..B..R.....u......u.......uR........","1. B c6 left   2. u f5 up   3. B b6 left   4. u a3 down   5. B a6 left"
"........R.B.u.u.....u..............R","1. B e5 right   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
".u.B................R..u....u...R...","1. B d6 right   2. u b6 left   3. B e6 right   4. u f3 down   5. B f6 right"
"..R.......B.....u...u..uR...........","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"..Bu.........u....u..............R.R","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"....u.......B....u..R...........uR..","1. B a4 up   2. u e6 right   3. B a5 up   4. u c1 left   5. B a6 left"
"..B.....R.u.....R...u...........u...","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
".....u.B...u..R.....u........R......","1. B b5 up   2. u f6 left   3. B b6 left   4. u e6 right   5. B a6 left"
"....R......uB...u.u...........R.....","1. B a4 up   2. u f5 up   3. B a5 up   4. u a3 down   5. B a6 left"
"..B..R...uR.......u...u.............","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"..B..R.......u.u...........u.R......","1. B c6 left   2. u d2 right   3. B b6 left   4. u e2 right   5. B a6 left"
"...B..Ru....R..............u.....u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"..BuR...u................R..u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"..........B....u...uuR...R..........","1. B e5 right   2. u b3 left   3. B f5 up   4. u a3 down   5. B f6 right"
".......Buu.........u.....R.........R","1. B b5 left   2. u b3 left   3. B a5 up   4. u a3 down   5. B a6 left"
"u...BR......u..........R....u.......","1. R f6 down   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
".......u..B.......R...u...R.....u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"..B.u.........u...R.....Ru..........","1. B c6 left   2. u e6 right   3. B b6 left   4. u b2 left   5. B a6 left"
"..........B.u..u...R.u.......R......","1. B e5 right   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
".......B......u........u.u...R....R.","1. B b5 left   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"...........uB......u.u.R.....R......","1. B a4 up   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
"....u..B......R...........Ru....u...","1. B b5 left   2. u e6 right   3. B a5 up   4. u c1 left   5. B a6 left"
"..B.u.R...R..u...................u..","1. B c6 left   2. u e6 right   3. B b6 left   4. u d1 right   5. B a6 left"
"..u......u.......Bu......RR.........","1. B f4 up   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"...B..uR......u.....u.............R.","1. B d6 right   2. u a5 up   3. B e6 right   4. u a6 right   5. B f6 right"
"..........R.BR...u.......u.u........","1. B a4 up   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"u..............u.B.R......Ru........","1. B f4 up   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
".R..........B.u..........uR.....u...","1. B a4 up   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"........R........B.Ru....u.u........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
".......B.R.u...u................Ru..","1. B b5 left   2. u f5 up   3. B a5 up   4. u d1 right   5. B a6 left"
"..uB........u.........R...u......R..","1. B d6 right   2. u c6 left   3. B e6 right   4. u b6 left   5. B f6 right"
"u.........B.u.R..R.u................","1. B e5 right   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
"..Bu...R..u.....u..................R","1. B c6 left   2. u d6 right   3. B b6 left   4. u e6 right   5. B a6 left"
"..........B...u.......u..RRu........","1. B e5 right   2. u e3 right   3. B f5 up   4. u f3 down   5. B f6 right"
"uR........B..R....u....u............","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"u......u......R.uB.R................","1. B f4 up   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
"..B..u......R....u...R..........u...","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"..B..........u............uu..R...R.","1. B c6 left   2. u c2 left   3. B b6 left   4. u b2 left   5. B a6 left"
"..B..........u............uR.R...u..","1. B c6 left   2. u d1 right   3. B b6 left   4. u e1 right   5. B a6 left"
"....u..Bu...R......u..R.............","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"....BR....R....uu...............u...","1. R f6 down   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
".......B.R.......u.....uR...u.......","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"..B........R.u....u....u....R.......","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
".............u...B.....R.Ru......u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".R...............B...uu..u...R......","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
".......B.....u.u.R....R..........u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"............B..u.u.......Ru.R.......","1. B a4 up   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"...u...B........R....uu.R...........","1. B b5 left   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
"...R....RuB..............u......u...","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"u..R......B.....R..........u....u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"..B..u....u...............u..R...R..","1. B c6 left   2. u f6 left   3. B b6 left   4. u e6 right   5. B a6 left"
".R..........B..............uu...uR..","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"..B....R......u...u..u.......R......","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"..B..............R.u..u...R.u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
".......u..B...u.........R..u...R....","1. B e5 right   2. u b5 up   3. B f5 up   4. u b6 left   5. B f6 right"
"..B.u.....u..R...........u......R...","1. B c6 left   2. u e6 right   3. B b6 left   4. u b2 left   5. B a6 left"
"u..B..R...R...u.............u.......","1. B d6 right   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
".......BRu........u..u.R............","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".......u..R.....RB...u......u.......","1. B f4 up   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"....u..B.........R.uu..R............","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
".......R..B...u.u......R....u.......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"Ru.....u..B...............u.......R.","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"..........B.u.uR...........uR.......","1. B e5 right   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
"u..B...............u.......R....u..R","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
".......B.u....R..u....u..R..........","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
".R........R......Bu.u......u........","1. B f4 up   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
".......B..u.....u.....Ru......R.....","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
